Question Number,Year,Question,Option 1,Option 2,Option 3,Option 4,Correct Option,Detailed Explanation,Difficulty,Sub Subject,Topic
40,2024,"With reference to the Indian Parliament, consider the following statements:

1. A bill pending in the Lok Sabha lapses on its dissolution

2. A bill passed by the Lok Sabha and pending in the Rajya Sabha lapses on the dissolution of the Lok Sabha.

3. A bill in regard to which the President of India notified his/her intention to summon the Houses to a joint sitting lapses on the dissolution of the Lok Sabha.",(a) 1 only,(b) 1 and 2,(c) 2 and 3,(d) 3 only,(b),"Statement 3 is incorrect: A bill for which the President has already notified a joint sitting of both Houses does not lapse on the dissolution of the Lok Sabha. Such a bill remains alive and can be considered after the newly elected Lok Sabha is constituted. This provision ensures that legislative work is not lost after a deadlock has already been formally addressed through the joint sitting mechanism.

Statement 1 is correct: Any bill that is pending in the Lok Sabha at the time of its dissolution lapses. Since the House itself ceases to exist, all unfinished legislative business pending before it also comes to an end.

Statement 2 is correct: A bill that has been passed by the Lok Sabha but is still pending in the Rajya Sabha also lapses upon the dissolution of the Lok Sabha. In such a case, the legislative process must begin afresh in the newly constituted House.

Therefore, Statements 1 and 2 are correct, while Statement 3 is incorrect",Medium,Polity,Parliament and State Legislatures
41,2024,"With reference to the Parliament of India, consider the following statements:

1. Prorogation of a House by the President of India does not require the advice of the Council of Ministers.

2. Prorogation of a House is generally done after the House is adjourned sine die but there is no bar to the President of India prorogating the House which is in session.

3. Dissolution of the Lok Sabha is done by the President of India who, save in exceptional circumstances, does so on the advice of the Council of Ministers",(a) 1 only,(b) 1 and 2,(c) 2 and 3,(d) 3 only,(c),"Statement 1 is incorrect: Under Article 85(2), the power to prorogue either House of Parliament is vested in the President. Although the President exercises this power on the advice of the Prime Minister and the Council of Ministers, prorogation is formally an act of the President and not of the Presiding Officer of the House.

Statement 2 is correct: In normal practice, prorogation takes place after the House has been adjourned sine die. However, constitutionally there is no such requirement, and the President may prorogue a House even when it is still in session.

Statement 3 is correct: The Lok Sabha is generally dissolved by the President on the advice of the Council of Ministers. Only in exceptional political situations, such as the loss of majority by the government or other constitutional crises, may the circumstances surrounding dissolution differ.

Therefore, Statements 2 and 3 are correct, while Statement 1 is incorrect.",Medium,Polity,Parliament and State Legislatures
42,2023,"In essence, what does ‘Due Process of Law’ mean?",(a) The principle of natural justice,(b) The procedure established by law,(c) Fair application of law,(d) Equality before law,(a),"Option (a) is correct: The doctrine of Due Process of Law requires that any law affecting a person's life or personal liberty must be fair, just, and reasonable. It is not enough that a legal procedure merely exists; the procedure itself must conform to the principles of natural justice and fairness.

Why the other options are incorrect:

Option (b): This describes the concept of ""Procedure Established by Law"", which originally meant that any procedure prescribed by a validly enacted law could be followed, regardless of whether it was fair or unfair. However, in the landmark Maneka Gandhi v. Union of India (1978) case, the Supreme Court expanded the scope of Article 21 and effectively incorporated the essence of Due Process of Law, requiring the procedure to be reasonable and non-arbitrary.

Option (c): Although fair application of law is one aspect of due process, the doctrine goes beyond that. It also examines whether the law itself and the procedure prescribed under it are fair, reasonable, and consistent with the principles of justice.

Option (d): Equality before law is a separate constitutional guarantee under Article 14. While both concepts aim to protect individual rights, it is not synonymous with the doctrine of Due Process of Law.

Therefore, Option (a) best reflects the true meaning of Due Process of Law.",Hard,Polity,Fundamental Rights
43,2023,"Consider the following statements :

Statement-I : In India, prisons are managed by State Govemments with their own rules and regulations for the day-to-day administration of prisons.

Statement-II : In India, prisons are governed by the Prisons Act, 1894 which expressly kept the subject of prisons in the control of Provincial Governments.

Which one of the following is correct in respect of the above statements?",(a) Both I and II are correct and II is correct explanation,(b) Both I and II are correct and II is not correct explanation,(c) Statement I is correct but II is incorrect,(d) Statement I is incorrect but II is correct,(a),"The Prisons Act, 1894 is one of the earliest and most important laws governing prison administration in India. Even today, it serves as the basic legal framework for prison management, supplemented by state-specific prison rules and manuals.

Statement 2 is correct: The administration and management of prisons fall under the jurisdiction of the State Governments. Prison administration is regulated through the Prisons Act, 1894, along with the prison manuals and rules framed by individual states.

Statement 1 is also correct: Under the Seventh Schedule of the Constitution, ""Prisons"" is included in the State List (List II). As a result, states have the authority to make laws, frame rules, and implement policies relating to prison management within their respective territories.

Since prisons are a State List subject, the responsibility for their day-to-day administration rests primarily with the state governments. This is why different states may have their own prison manuals and regulations, although they broadly operate within the framework of the Prisons Act, 1894.

Therefore, both Statement 1 and Statement 2 are correct.",Medium,Polity,Centre-State relations
44,2023,Which one of the following statements best reflects the Chief purpose of the ‘Constitution’ of a country?,(a) It determines the objective for the making of necessary laws.,(b) It enables the creation of political offices and a government.,(c) It defines and limits the powers of government.,"(d) It secures social justice, social equality and social security.",(c),"A Constitution lays down the fundamental principles and legal framework of a country. It defines the structure of government and specifies the powers, functions, and responsibilities of its various organs. It also provides the legal and political authority through which governments make laws, administer public affairs, and resolve disputes.

The Constitution further guides the State in achieving broader goals such as social, economic, and political justice through provisions like the Directive Principles of State Policy (DPSPs). These principles help shape policies and legislation aimed at building a welfare state.

However, the primary purpose of a Constitution is to place limits on governmental power. It prevents the arbitrary exercise of authority by defining the scope within which the government must function. This ensures the protection of citizens' rights and upholds the rule of law.

Therefore, a constitutional government is essentially a limited government, where the powers of the State are restricted and regulated by the Constitution itself.",Easy,Polity,Salient Features of the Constitution
45,2023,"In India, which one of the following Constitutional Amendments was widely believed to be enacted to overcome the judicial interpretations of the Fundamental Rights?",(a) 1st Amendment,(b) 42nd Amendment,(c) 44th Amendment,(d) 86th Amendment,(a),"The Constitution (First Amendment) Act, 1951 was enacted to address certain judicial decisions that had created obstacles to the government's policies relating to land reforms, reservations, and regulation of free speech.

Right to Property:
One of the major objectives of the amendment was to protect land reform measures from judicial interference. Several laws abolishing the zamindari system had been challenged in courts. To safeguard such legislation, the amendment introduced Articles 31A and 31B and created the Ninth Schedule, placing certain laws beyond challenge on the ground of violation of Fundamental Rights.

Right to Equality:
The amendment also responded to the Supreme Court's decision in State of Madras v. Champakam Dorairajan (1951), which invalidated caste based reservations in educational institutions. To overcome this judgment, Article 15(4) was inserted, empowering the State to make special provisions for the advancement of socially and educationally backward classes and Scheduled Castes and Scheduled Tribes.

Freedom of Speech and Expression:
Following judgments such as Romesh Thappar v. State of Madras, which restricted the government's ability to impose limitations on speech, the First Amendment expanded the scope of reasonable restrictions under Article 19(2). It added grounds such as public order, friendly relations with foreign states, and incitement to an offence.

Thus, the First Amendment brought important changes relating to the Right to Equality, Right to Property, and Freedom of Speech and Expression, making all three aspects relevant in this context",Medium,Polity,Amendments
46,2023,"Consider the following organizations/bodies in India :

1. The National Commission for Backward Classes

2. The National Human Rights Commission

3. The National Law Commission

4. The National Consumer Disputes Redressal Commission


How many of the above are constitutional bodies?",(a) Only one,(b) Only two,(c) Only three,(d) All four,(a),"Among the bodies listed, only the National Commission for Backward Classes (NCBC) enjoys constitutional status.

The NCBC was originally a statutory body, but it was granted constitutional status through the 102nd Constitutional Amendment Act, 2018. This amendment inserted Article 338B into the Constitution, providing for the establishment and functions of the Commission.

The other bodies are not constitutional bodies:

National Human Rights Commission (NHRC):
It is a statutory body established under the Protection of Human Rights Act, 1993.

National Consumer Disputes Redressal Commission (NCDRC):
It is also a statutory body, created under the Consumer Protection Act, 1986, which has since been replaced by the Consumer Protection Act, 2019.

Law Commission of India:
It is neither a constitutional nor a statutory body. It is an executive body constituted by the Government of India through an executive resolution for a fixed term to review and recommend legal reforms.

Therefore, only the National Commission for Backward Classes (NCBC) is a constitutional body.",Easy,Polity,Constitutional bodies
47,2023,"Consider the following statements :

1. If the election of the President of India is declared void by the Supreme Court of India, all acts done by him/her in the performance of duties of his/her office of President before the date of decision become invalid.
2. Election for the post of the President of India can be postponed on the ground that some Legislative Assemblies have been dissolved and elections are yet to take place.
3. When a Bill is presented to the President of India, the Constitution prescribes time limits within which he/she has to declare his/her assent.


How many of the above statements are correct?",(a) Only one,(b) Only two,(c) All three,(d) None,(d),"Statement 3 is incorrect: The Constitution does not prescribe any specific time limit within which the President must act on a bill presented for assent. As a result, the President may keep a bill pending for an indefinite period. This practice is popularly known as a pocket veto.

Statement 1 is also incorrect: If the Supreme Court declares the election of a President void, the actions taken by that President before the date of the Court's decision do not become invalid. Such acts continue to remain legally valid in order to maintain constitutional continuity and administrative stability.

Statement 2 is incorrect: The Supreme Court clarified in 1974 that the dissolution of a State Legislative Assembly does not affect the conduct of the Presidential election. The election to the office of the President cannot be postponed merely because a State Assembly has been dissolved or elections to that Assembly are yet to be held.

Therefore, all three statements are incorrect.",Medium,Polity,Union and State Executive
48,2023,"With reference to Finance Bill and Money Bill in the Indian Parliament, consider the following statements :

1. When the Lok Sabha transmits Finance Bill to the Rajya Sabha, it can amend or reject the Bill.

2. When the Lok Sabha transmits Money Bill to the Rajya Sabha, it cannot amend or reject the Bill, it can only make recommendations.

3. In the case of disagreement between the Lok Sabha and the Rajya Sabha, there is no joint sitting for Money Bill, but a joint sitting becomes necessary for Finance Bill.


How many of the above statements are correct?",(a) Only one,(b) Only two,(c) All three,(d) None,(b),"Statement 2 is correct: A Money Bill under Article 110 enjoys a special status. The Rajya Sabha cannot reject or amend it. It can only return the bill to the Lok Sabha within 14 days with its recommendations. The Lok Sabha is free to either accept or reject those recommendations.

Statement 1 is also correct: A Finance Bill under Article 117(1) can be introduced only in the Lok Sabha, similar to a Money Bill. However, unlike a Money Bill, it follows the ordinary legislative procedure after introduction. Therefore, the Rajya Sabha has full powers to discuss, amend, or even reject such a bill.

Statement 3 is incorrect: In the event of a deadlock over a Finance Bill, a Joint Sitting may be convened under Article 108 because it is treated like an ordinary bill for legislative purposes. However, the President is not required to summon a Joint Sitting. The Constitution provides that the President may call a Joint Sitting, making it a discretionary option rather than a mandatory step.

Therefore, Statements 1 and 2 are correct, while Statement 3 is incorrect.",Hard,Polity,Parliament and State Legislatures
49,2023,"With reference to ‘Scheduled Areas’ in India, consider the following statements :

1. Within a State, the notification of an area as Scheduled Area takes place though an Order of the President.

2. The largest administrative unit forming the Scheduled Area is the District and the lowest is the cluster of villages in the Block.

3. The Chief Ministers Of the concerned States are required to submit annual reports to the Union Home Ministry on the administration of Scheduled Areas in the States.

How many of the above statements are correct?",(a) Only one,(b) Only two,(c) All three,(d) None,(b),"Statement 3 is incorrect: Under Paragraph 3 of the Fifth Schedule, the Governor of a State having Scheduled Areas is required to submit a report to the President regarding their administration. This report is to be submitted annually or whenever the President so directs. The Constitution does not require the Governor to submit such a report to the Chief Minister.

Statement 1 is correct: According to Article 244(1) read with the Fifth Schedule, the President has the authority to declare any area as a Scheduled Area by issuing an order. Such a declaration is made after consultation with the Governor of the concerned State.

Statement 2 is also correct: For administrative purposes, a district is generally regarded as the largest unit constituting a Scheduled Area, while at the lower level, a cluster of villages within a block is considered the smallest unit for identifying and organizing Scheduled Areas.

Therefore, Statements 1 and 2 are correct, while Statement 3 is incorrect.",Medium,Polity,Schedules
50,2023,"Consider the following statements :

Statement-I : The Supreme Court of India has held in some judgements .that the reservation policies made under Article 16(4) of the Constitution of India would be limited by Article 335 for maintenance of efficiency of administration.

Statement-II : Article 335 of the Constitution of India defmes the term ‘efficiency of administration’.

Which one of the following is correct in respect of the above statements?",(a) Both I and II are correct and II is correct explanation,(b) Both I and II are correct and II is not correct explanation,(c) Statement I is correct but II is incorrect,(d) Statement I is incorrect but II is correct,(c),"Statement I is correct: A common argument against reservation is that it may affect efficiency and merit in public administration. In some of its judgments, the Supreme Court has observed that the requirement of maintaining efficiency in administration, mentioned in Article 335, must be kept in mind while implementing reservation policies under Article 16(4) relating to public employment.

Statement II is incorrect: Article 335 provides that the claims of Scheduled Castes (SCs) and Scheduled Tribes (STs) should be taken into consideration in appointments to services and posts under the Union or a State, while ensuring the maintenance of efficiency in administration.

However, the Constitution does not define the term ""efficiency of administration"" anywhere. Article 335 merely refers to the concept without explaining its meaning or laying down any specific criteria for measuring it.",Medium,Polity,Fundamental Rights
51,2023,"Consider the following statements :

1. According to the Constitution of India, the Central Government has a duty to protect States from internal disturbances.

2. The Constitution of India exempts the States from providing legal counsel to a person being held for preventive detention.

3. According to the Prevention of Terrorism Act, 2002, confession of the accused before the police cannot be used as evidence.


How many of the above statements are correct?",(a) Only one,(b) Only two,(c) All three,(d) None,(b),"Statement 3 is incorrect: Under Section 32(1) of the Prevention of Terrorism Act (POTA), 2002, a confession made to a police officer not below the rank of Superintendent of Police was admissible as evidence, subject to prescribed safeguards. Therefore, any statement claiming that such confessions were not legally admissible is incorrect.

Statement 1 is correct: Article 355 imposes a duty on the Union Government to protect every State against external aggression and internal disturbance. It also requires the Union to ensure that the governance of each State is carried on in accordance with the provisions of the Constitution.

Statement 2 is correct: Under Article 22(3)(b), the safeguards available to ordinary arrested persons do not fully apply to individuals detained under preventive detention laws. While such detainees do not enjoy an immediate constitutional right to consult and be defended by a legal practitioner in the same manner as other arrested persons, the Constitution does not prevent the government from providing legal assistance if it chooses to do so.

Therefore, Statements 1 and 2 are correct, while Statement 3 is incorrect.",Hard,Polity,Emergency provisions
52,2023,"Consider the following statements in respect of election to the President of India :

1. The members nominated to either House of the Parliament or the Legislatiye Assemblies of States are also eligible to be included in the Electoral College
2. Higher the number of elective Assembly seats, higher is the value of vote of each MLA of that State.

3. The value of vote of each MLA of Madhya Pradesh is greater than that of Kerala.

4. The value of vote of each MLA of Puducherry is higher than that of Arunachal Pradesh because the ratio of total population to total number of elective seats in Puducherry is greater as compared to Arunachal Pradesh.

How many of the above statements are correct?",(a) Only one,(b) Only two,(c) Only three,(d) All four,(a),"Statement 4 is correct: In the Presidential election, the value of an MLA's vote is determined by the ratio of the state's population (based on the 1971 Census) to the number of elected members in its Legislative Assembly. Based on this formula, the vote value of an MLA from Puducherry (16) is higher than that of an MLA from Arunachal Pradesh (8).

Statement 1 is incorrect: The electoral college for the Presidential election consists only of:

Elected members of both Houses of Parliament.
Elected members of the Legislative Assemblies of the States.
Elected members of the Legislative Assemblies of the Union Territories of Delhi and Puducherry.

Nominated members are not part of the electoral college. Further, the Legislative Assembly of the Union Territory of Jammu and Kashmir is not included under Article 54.

Statement 2 is incorrect: The value of an MLA's vote is not determined simply by the number of elected seats in the Assembly. It is calculated using the formula:

Value of MLA's vote = State population (1971 Census) ÷ Total elected MLAs ÷ 1000

Therefore, the vote value depends on the relationship between population and the number of elected Assembly seats.

Statement 3 is incorrect: The value of the vote of an MLA from Kerala (152) is higher than that of an MLA from Madhya Pradesh (131). Hence, any statement claiming that Madhya Pradesh has a higher vote value is incorrect.

Therefore, only Statement 4 is correct, while Statements 1, 2, and 3 are incorrect.",Hard,Polity,Union and State Executive
53,2023,"With reference to Home Guards, consider the following statements :

1. Home Guards are raised under the Home Guards Act and Rules of the Central Government.

2. The role of the Home Guards is to serve as an auxiliary force to the police in maintenance of internal security.

3. To prevent infiltration on the international border/ coastal areas, the Border Wing Home Guards Battalions have been raised in some States.


How many of the above statements are correct?",(a) Only one,(b) Only two,(c) All three,(d) None,(b),"Statement 1 is incorrect: Home Guards are not raised by the Central Government. They are organized and administered by the respective States and Union Territories under their own Home Guards Acts and Rules. Home Guards are voluntary citizens drawn from different sections of society who contribute their time and services for community welfare and public safety.

Statement 3 is correct: To strengthen border security, 15 Border Wing Home Guards (BWHG) Battalions have been raised in border states. These battalions function as an auxiliary force to the Border Security Force (BSF) and assist in tasks such as preventing infiltration, guarding vulnerable areas and vital installations, and maintaining communication lines during external threats.

Statement 2 is also correct: Home Guards serve as an auxiliary force to the police in maintaining internal security. Their responsibilities include assisting during emergencies such as natural disasters, fires, epidemics, and air raids, helping maintain essential services, promoting communal harmony, supporting vulnerable sections of society, participating in welfare activities, and performing civil defence duties.

Therefore, Statements 2 and 3 are correct, while Statement 1 is incorrect.",Medium,Polity,Miscellaneous & Current Affairs
54,2023,"With reference to India, consider the following pairs :

Action : The Act under which it is covered

1. Unauthorized wearing of police or military uniforms : The Official Secrets Act, 1923

2. Knowingly misleading or otherwise interfering with a police officer or military officer when engaged in their duties : The Indian Evidence Act, 1872

3. Celebratory gunfire which can endanger the personal safety of others : The Arms (Amendment) Act, 2019
How many of the correctly matched?",(a) Only one,(b) Only two,(c) All three,(d) None,(b),"Pair 3 is correctly matched: The Arms (Amendment) Act, 2019 introduced several new offences, including snatching firearms from police or armed forces personnel and engaging in celebratory gunfire that endangers human life or the safety of others.

Pair 1 is also correctly matched: The Official Secrets Act, 1923 prohibits any person from wearing or using, without lawful authority, any naval, military, air force, police, or other official uniform. It also forbids impersonating a person entitled to wear such a uniform or using a similar uniform intended to deceive others.

Pair 2 is incorrectly matched: The provision relating to obstructing, misleading, or interfering with police personnel or members of the armed forces performing guard, sentry, patrol, or similar duties near a prohibited place is contained in the Official Secrets Act, 1923. Therefore, if this provision has been matched with any other law, the pair is incorrect.

Hence, Pairs 1 and 3 are correctly matched, while Pair 2 is incorrectly matched.",Hard,Polity,Miscellaneous & Current Affairs
55,2023,"Consider the following statements in respect of the National Flag of India, according to the Flag Code of India, 2002:

Statement-I : One of the standard size of the National Flag of India is 600 mm x 400 mm .

Statement-II : The ratio of the length to the height (width) of the Flag shall be 3 : 2.

Which one of the following is correct in respect of the above statements?",(a) Both I and II are correct and II is correct explanation,(b) Both I and II are correct and II is not correct explanation,(c) Statement I is correct but II is incorrect,(d) Statement I is incorrect but II is correct,(d),"Statement 1 is incorrect: The hoisting/use/display of the Indian National Flag is governed by the Prevention of Insults to National Honour Act, 1971, and the Flag Code of India, 2002. The flag code states that the tricolour can be of nine standard dimensions however 600mm x 400mm is not one of them.

Statement 2 is correct: The National Flag shall be rectangular in shape and the ratio of the length to the height (width) of the Flag shall be 3:2.",Medium,Polity,Miscellaneous & Current Affairs
56,2023,"Consider the following statements in respect of the Constitution Day :

Statement-I : The Constitution Day is celebrated on 26th November every year to promote constitutional values among citizens.

Statement-II : On 26th November, 1949, the Constituent Assembly of India set up a Drafting Committee under the Chairmanship of Dr. B. R. Ambedkar to prepare a Draft Constitution of India.",(a) Both I and II are correct and II is correct explanation,(b) Both I and II are correct and II is not correct explanation,(c) Statement I is correct but II is incorrect,(d) Statement I is incorrect but II is correct,(c),"Statement 1 is correct: Constitution Day is observed in India every year on 26 November. The day commemorates the adoption of the Constitution by the Constituent Assembly in 1949 and aims to spread awareness about constitutional ideals, values, and principles among citizens.

Statement 2 is incorrect: The Drafting Committee was indeed constituted on 29 August 1947 under the chairmanship of Dr. B.R. Ambedkar to prepare the Draft Constitution. However, the Constitution was adopted on 26 November 1949 and came into force only on 26 January 1950. Therefore, any statement suggesting that the Constitution became effective on 26 November 1949 is incorrect.

A useful distinction to remember is:

26 November 1949 – Constitution adopted by the Constituent Assembly.
26 January 1950 – Constitution came into force, marking the birth of the Republic of India.

Therefore, Statement 1 is correct, while Statement 2 is incorrect.",Easy,Polity,Making of Constitution
57,2022,"Consider the following statements:

1. Pursuant to the report of H.N. Sanyal Committee, the Contempt of Courts Act, 1971 was passed.

2. The Constitution of India empowers the Supreme Court and the High Courts to punish for contempt of themselves.

3. The Constitution of India defines Civil Contempt and Criminal Contempt.

4. In India, the Parliament is vested with the powers to make laws on Contempt of Court.


Which of the statements given above is/are correct?",(a) 1 and 2 only,"(b) 1, 2 and 4 only",(c) 3 and 4 only,(d) 3 only,(b),"Statement 3 is incorrect: The terms civil contempt and criminal contempt are not defined in the Constitution. Their definitions are provided under the Contempt of Courts Act, 1971, which lays down the legal framework governing contempt proceedings in India.

Statement 1 is correct: The Contempt of Courts Act, 1971 was enacted largely on the basis of the recommendations of the H.N. Sanyal Committee, which was constituted to review and suggest reforms in the law relating to contempt of courts.

Statement 2 is correct: The Constitution grants contempt powers to the higher judiciary. Article 129 declares the Supreme Court to be a Court of Record with the power to punish for its contempt, while Article 215 provides the same authority to the High Courts.

Statement 4 is correct: Parliament is empowered to legislate on matters relating to contempt of courts. The enactment of the Contempt of Courts Act, 1971 itself demonstrates this legislative authority.

Therefore, Statements 1, 2, and 4 are correct, while Statement 3 is incorrect.",Medium,Polity,Judiciary
58,2022,"With reference to India, consider the following statements:

1. Government law officers and legal firms are recognized as advocates, but corporate lawyers and patent attorneys are excluded from recognition as advocates.

2. Bar Councils have the power to lay down the rules relating to legal education and recognition of law colleges.


Which of the statements given above is/are correct?",(a) 1 only,(b) 2 only,(c) Both 1 and 2,(d) Neither 1 nor 2,(b),"Statement 2 is correct: The Bar Council of India (BCI) plays an important role in regulating legal education in the country. Under Section 7 of the Advocates Act, 1961, it is empowered to promote legal education, prescribe standards for law courses in consultation with universities and State Bar Councils, recognize law degrees for enrolment as advocates, and inspect law colleges to ensure compliance with prescribed standards.

Statement 1 is incorrect: The Advocates Act, 1961 provides for the enrolment of individual persons as advocates. Law firms or legal entities themselves cannot be enrolled as advocates. However, there is no blanket exclusion of corporate lawyers or patent attorneys from being recognized as advocates. If they satisfy the prescribed conditions and are enrolled with a State Bar Council, they are entitled to be recognized as advocates under the Act.

Therefore, Statement 2 is correct, while Statement 1 is incorrect.",Medium,Polity,Statutory bodies
59,2022,"Consider the following statements:

1. A bill amending the Constitution requires a prior recommendation of the President of India.

2. When a Constitution Amendment Bill is presented to the President of India, it is obligatory for the President of India to give his/her assent.

3. A Constitution Amendment Bill must be passed by both the Lok Sabha and Rajya Sabha by a special majority and there is no provision for joint sitting.


Which of the statements given above are correct?",(a) 1 and 2 only,(b) 2 and 3 only,(c) 1 and 3 only,"(d) 1, 2 and 3",(b),"Statement 2 is correct: The 24th Constitutional Amendment Act, 1971 amended Article 368 to clearly affirm Parliament's power to amend any part of the Constitution. It also made it mandatory for the President to give assent to a Constitution Amendment Bill once it has been duly passed by Parliament.

Statement 3 is also correct: A Constitution Amendment Bill must be passed separately by each House of Parliament with a special majority. If one House rejects the bill or the two Houses disagree, the Constitution does not provide for a joint sitting to resolve the deadlock.

Statement 1 is incorrect: A Constitution Amendment Bill can be introduced in either House of Parliament and may be moved by either a minister or a private member. Unlike certain other bills, it does not require the prior permission or recommendation of the President before its introduction.

Therefore, Statements 2 and 3 are correct, while Statement 1 is incorrect.

Humanize 157 words",Easy,Polity,Amendments
60,2022,"Consider the following statements:

1. The Constitution of India classifies the ministers into four ranks viz. Cabinet Minister, Minister of State with Independent Charge, Minister of State and Deputy Minister.

2. The total number of ministers in the Union Government, including the Prime Minister, shall not exceed 15 percent of the total number of members in the Lok Sabha.


Which of the statements given above is/are correct?",(a) 1 only,(b) 2 only,(c) Both 1 and 2,(d) Neither 1 nor 2,(b),"Statement 2 is correct: The 91st Constitutional Amendment Act, 2003 placed a ceiling on the size of the Council of Ministers. According to Article 75(1A), the total number of ministers, including the Prime Minister, cannot exceed 15% of the total strength of the Lok Sabha.

Statement 1 is incorrect: The Constitution does not provide for four fixed categories or ranks of ministers. The classification of ministers into categories such as Cabinet Ministers, Ministers of State (Independent Charge), Ministers of State, and Deputy Ministers has evolved through parliamentary practice and political convention rather than constitutional provisions. Moreover, the exact composition and number of such categories may vary from one government to another.

Therefore, Statement 2 is correct, while Statement 1 is incorrect.",Easy,Polity,Union and State Executive
61,2022,"Which of the following is/are the exclusive power(s) of Lok Sabha?

1. To ratify the declaration of Emergency

2. To pass a motion of no-confidence against the Council of Ministers

3. To impeach the President of India",(a) 1 and 2,(b) 2 only,(c) 1 and 3,(d) 3 only,(b),"Statement 2 is correct: The power to pass a No Confidence Motion belongs exclusively to the Lok Sabha. This is because the Council of Ministers is collectively responsible only to the Lok Sabha under Article 75(3). Since the government remains in office only so long as it enjoys the confidence of the Lok Sabha, the Rajya Sabha has no role in a no confidence motion.

Statement 1 is incorrect: A proclamation of National Emergency does not become valid solely through approval by the Lok Sabha. The Constitution requires that it be approved by both Houses of Parliament, namely the Lok Sabha and the Rajya Sabha, within the prescribed period.

Statement 3 is incorrect: The impeachment of the President is not an exclusive power of the Lok Sabha. The process may be initiated in either House of Parliament, and both Houses participate in the procedure. Therefore, this power is shared by the Lok Sabha and the Rajya Sabha.

Hence, only Statement 2 is correct, while Statements 1 and 3 are incorrect.",Easy,Polity,Parliament and State Legislatures
62,2022,"With reference to anti-defection law in India, consider the following statements:

1. The law specifies that a nominated legislator cannot join any political party within six months of being appointed to the House.

2. The law does not provide any time-frame within which the presiding officer has to decide a defection case.


Which of the statements given above is/are correct?",(a) 1 only,(b) 2 only,(c) Both 1 and 2,(d) Neither 1 nor 2,(b),"Statement 2 is correct: The Tenth Schedule (Anti Defection Law) does not prescribe any specific time limit within which the Speaker or Chairman must decide a disqualification petition. Although the Supreme Court has emphasized the need for timely decisions, the Constitution itself does not fix a deadline.

Statement 1 is incorrect: A nominated member is permitted to join a political party within six months from the date on which he or she takes a seat in the House without attracting disqualification. However, if the nominated member joins a political party after the expiry of this six-month period, he or she becomes liable for disqualification under the Anti Defection Law.

Therefore, Statement 2 is correct, while Statement 1 is incorrect.",Medium,Polity,"Election, Anti-Defection Law"
63,2022,"Consider the following statements:

1. Attorney General of India and Solicitor General of India are the only officers of the Government who are allowed to participate in the meetings of the Parliament of India.

2. According to the Constitution of India, the Attorney General of India submits his resignation when the Government which appointed him resigns.


Which of the statements given above is/are correct?",(a) 1 only,(b) 2 only,(c) Both 1 and 2,(d) Neither 1 nor 2,(d),"Statement 1 is incorrect: Under Article 88, the Attorney General of India has the right to speak and participate in the proceedings of either House of Parliament, joint sittings, and parliamentary committees of which he is a member. However, he has no right to vote. This privilege is available to the Attorney General and not to the Solicitor General of India, whose office is not mentioned in the Constitution and who does not enjoy similar parliamentary rights.

Statement 2 is also incorrect: According to Article 76, the Attorney General holds office during the pleasure of the President and receives such remuneration as the President may determine. The Constitution does not require the Attorney General to resign when the government that appointed him leaves office. Although an Attorney General may choose to resign as a matter of convention, there is no constitutional provision making it mandatory.

Therefore, both Statement 1 and Statement 2 are incorrect.",Medium,Polity,Constitutional bodies
64,2022,"With reference to the writs issued by the Courts in India, consider the following statements:

1. Mandamus will not lie against a private organization unless it is entrusted with a public duty.

2. Mandamus will not lie against a Company even though it may be a Government Company.

3. Any public minded person can be a petitioner to move the Court to obtain the writ of Quo Warranto.


Which of the statements given above are correct?",(a) 1 and 2 only,(b) 2 and 3 only,(c) 1 and 3 only,"(d) 1, 2 and 3",(d),"Statement 3 is correct: The writ of Quo Warranto is issued to examine the legality of a person's claim to a public office. If an individual is found to be occupying a public office without legal authority, the court can prevent such usurpation. Unlike most other writs, it can be sought by any interested person and not necessarily by someone who is personally aggrieved.

Statement 1 is correct: The writ of Mandamus is issued by a court to direct a public authority to perform a duty that it is legally bound to perform but has failed or refused to carry out. It may be issued against a public official, government, local authority, statutory body, tribunal, inferior court, or any other authority entrusted with a public duty.

Statement 2 is correct: Mandamus can also be issued against a government company or corporation when it is performing functions involving a public duty. The crucial factor is not merely government ownership but the existence of a public obligation that the authority is required to discharge.

For examination purposes, statements are evaluated as they are framed. In this context, the statement is treated as correct because government companies performing public functions can be subject to the writ of Mandamus.

Therefore, Statements 1, 2, and 3 are correct.",Hard,Polity,Fundamental Rights
